Crop,Promoters_Found,Total_Spacers,Max_Spacer_Length,Avg_Spacer_Length,Mode_Spacer_Length,Median_Spacer_Length
Soybean,7404,6681,940,121.89,8,79.0
Chickpea_genome,63000,50810,968,131.94,1,88.0
Arabidopsis,14692,18349,919,123.18,1,84.0
Cicer_reticulatum,6775,5432,942,129.08,2,88.0
Pigeonpea_genome,72470,58809,990,130.07,11,86.0
Quinoa,149962,137083,983,127.47,1,80.0
Fonio,78635,80086,986,169.14,23,115.0
Sorghum,75876,69151,977,167.74,79,116.0
Cassava,57486,38583,963,125.18,3,80.0
Chickpea,42689,35357,968,129.28,3,87.0
Pigeonpea,31204,26211,974,128.58,1,85.0
